,Price,Land Area (Aana),Road Access (Feet),FACING,FLOOR,BEDROOM,BATHROOM,Street,District,House Age
303,17.989897843244528,10.7,20.0,north,2.5,6,5,balkumari,lalitpur,23
305,17.1654146803266,3.0,13.0,east,2.5,9,4,tikathali,lalitpur,9
308,17.989897843244528,10.0,20.0,east,2.5,4,4,maharajgunj,kathmandu,23
309,17.909855136853043,6.0,13.0,west,2.5,8,5,deuwa chowk,kathmandu,13
310,16.61887099947687,2.2,13.0,east,2.5,3,3,kageshwori,kathmandu,11
311,17.32705602664604,4.0,13.0,north,2.5,9,5,budhanilkantha,kathmandu,23
312,17.370858648025116,5.0,11.0,south east,2.5,6,4,suryadarsan heights,kathmandu,6
313,17.129696599000436,5.0,13.0,west,2.5,9,4,wasik,kathmandu,11
314,14.557448378884015,10.7,14.0,east,2.5,7,5,bhaisepati,lalitpur,11
316,15.068273812173887,10.7,14.0,missing,2.5,8,3,hattisar,kathmandu,9
317,16.929025911619092,3.0,13.0,north,2.5,7,3,bojepokhari,lalitpur,9
318,17.034386422832473,3.0,13.0,east,2.5,7,6,imadol,lalitpur,5
319,17.147715103853763,5.3,15.0,east,2.5,6,6,sanagaun,lalitpur,8
320,17.073607134447293,2.2,13.0,south,2.5,5,3,imadol,lalitpur,5
321,17.147715103853763,3.0,13.0,west,2.5,4,4,imadol,lalitpur,9
322,17.11134746100564,3.2,13.0,west,2.5,5,4,imadol,lalitpur,9
323,17.182806422433504,3.2,8.5,south,2.5,9,8,old baneshwor,kathmandu,9
324,17.296750678069195,3.3,16.0,north west,2.5,5,5,imadol,lalitpur,6
325,17.11134746100564,3.0,20.0,south,2.5,3,4,harisiddhi,lalitpur,13
326,17.989897843244528,7.0,14.0,south,2.5,4,5,deuwa chowk,kathmandu,16
327,17.129696599000436,3.0,13.0,south west,2.5,7,4,imadol,lalitpur,5
328,16.951004817371683,2.3,10.0,east,2.5,5,4,thamel,kathmandu,5
329,17.867295523158884,5.2,13.0,south east,2.5,4,4,budhanilkantha,kathmandu,5
330,17.72753358339242,4.0,13.0,west,2.5,4,4,sitapaila,kathmandu,13
